source,question,article_title,category_candidate,reference_url,raw_headings,raw_snippets
OSC_GetSmarterAboutMoney,How does How to open an online investing account affect a retail investor?,Getting started,product_recommendations,https://www.getsmarteraboutmoney.ca/learning-path/getting-started/,How the stock market works | How to get started with investing | What is DIY investing and how does it work? | How to open an online investing account | Types of investments | How can you make money from investing? | How can you research your investments? | Tracking your investing returns | Answers to investing questions you may be too embarrassed to ask | Top tips for new investors,"Home / Investing basics / Getting started | Learn about the stock market, investment types, and how to get started. | The stock market brings together people who want to sell investments with those who want to buy them. Learn more about how the stock market works. | If you’re ready to start investing, learn these important basics before diving in. | DIY investors build and manage their own investment portfolios."
OSC_GetSmarterAboutMoney,How does Top tips for new investors affect a retail investor?,Getting started,product_recommendations,https://www.getsmarteraboutmoney.ca/learning-path/getting-started/,How the stock market works | How to get started with investing | What is DIY investing and how does it work? | How to open an online investing account | Types of investments | How can you make money from investing? | How can you research your investments? | Tracking your investing returns | Answers to investing questions you may be too embarrassed to ask | Top tips for new investors,"Home / Investing basics / Getting started | Learn about the stock market, investment types, and how to get started. | The stock market brings together people who want to sell investments with those who want to buy them. Learn more about how the stock market works. | If you’re ready to start investing, learn these important basics before diving in. | DIY investors build and manage their own investment portfolios."
OSC_GetSmarterAboutMoney,How does Types of investments affect a retail investor?,Getting started,product_recommendations,https://www.getsmarteraboutmoney.ca/learning-path/getting-started/,How the stock market works | How to get started with investing | What is DIY investing and how does it work? | How to open an online investing account | Types of investments | How can you make money from investing? | How can you research your investments? | Tracking your investing returns | Answers to investing questions you may be too embarrassed to ask | Top tips for new investors,"Home / Investing basics / Getting started | Learn about the stock market, investment types, and how to get started. | The stock market brings together people who want to sell investments with those who want to buy them. Learn more about how the stock market works. | If you’re ready to start investing, learn these important basics before diving in. | DIY investors build and manage their own investment portfolios."
OSC_GetSmarterAboutMoney,How does Tracking your investing returns affect a retail investor?,Getting started,product_recommendations,https://www.getsmarteraboutmoney.ca/learning-path/getting-started/,How the stock market works | How to get started with investing | What is DIY investing and how does it work? | How to open an online investing account | Types of investments | How can you make money from investing? | How can you research your investments? | Tracking your investing returns | Answers to investing questions you may be too embarrassed to ask | Top tips for new investors,"Home / Investing basics / Getting started | Learn about the stock market, investment types, and how to get started. | The stock market brings together people who want to sell investments with those who want to buy them. Learn more about how the stock market works. | If you’re ready to start investing, learn these important basics before diving in. | DIY investors build and manage their own investment portfolios."
OSC_GetSmarterAboutMoney,How does What is DIY investing and how does it work? affect a retail investor?,Getting started,product_recommendations,https://www.getsmarteraboutmoney.ca/learning-path/getting-started/,How the stock market works | How to get started with investing | What is DIY investing and how does it work? | How to open an online investing account | Types of investments | How can you make money from investing? | How can you research your investments? | Tracking your investing returns | Answers to investing questions you may be too embarrassed to ask | Top tips for new investors,"Home / Investing basics / Getting started | Learn about the stock market, investment types, and how to get started. | The stock market brings together people who want to sell investments with those who want to buy them. Learn more about how the stock market works. | If you’re ready to start investing, learn these important basics before diving in. | DIY investors build and manage their own investment portfolios."
OSC_GetSmarterAboutMoney,How does How can you research your investments? affect a retail investor?,Getting started,product_recommendations,https://www.getsmarteraboutmoney.ca/learning-path/getting-started/,How the stock market works | How to get started with investing | What is DIY investing and how does it work? | How to open an online investing account | Types of investments | How can you make money from investing? | How can you research your investments? | Tracking your investing returns | Answers to investing questions you may be too embarrassed to ask | Top tips for new investors,"Home / Investing basics / Getting started | Learn about the stock market, investment types, and how to get started. | The stock market brings together people who want to sell investments with those who want to buy them. Learn more about how the stock market works. | If you’re ready to start investing, learn these important basics before diving in. | DIY investors build and manage their own investment portfolios."
OSC_GetSmarterAboutMoney,What should I know about How can you research your investments? before investing?,Getting started,product_recommendations,https://www.getsmarteraboutmoney.ca/learning-path/getting-started/,How the stock market works | How to get started with investing | What is DIY investing and how does it work? | How to open an online investing account | Types of investments | How can you make money from investing? | How can you research your investments? | Tracking your investing returns | Answers to investing questions you may be too embarrassed to ask | Top tips for new investors,"Home / Investing basics / Getting started | Learn about the stock market, investment types, and how to get started. | The stock market brings together people who want to sell investments with those who want to buy them. Learn more about how the stock market works. | If you’re ready to start investing, learn these important basics before diving in. | DIY investors build and manage their own investment portfolios."
OSC_GetSmarterAboutMoney,How does How can you make money from investing? affect a retail investor?,Getting started,product_recommendations,https://www.getsmarteraboutmoney.ca/learning-path/getting-started/,How the stock market works | How to get started with investing | What is DIY investing and how does it work? | How to open an online investing account | Types of investments | How can you make money from investing? | How can you research your investments? | Tracking your investing returns | Answers to investing questions you may be too embarrassed to ask | Top tips for new investors,"Home / Investing basics / Getting started | Learn about the stock market, investment types, and how to get started. | The stock market brings together people who want to sell investments with those who want to buy them. Learn more about how the stock market works. | If you’re ready to start investing, learn these important basics before diving in. | DIY investors build and manage their own investment portfolios."
OSC_GetSmarterAboutMoney,What should I know about How to get started with investing before investing?,Getting started,product_recommendations,https://www.getsmarteraboutmoney.ca/learning-path/getting-started/,How the stock market works | How to get started with investing | What is DIY investing and how does it work? | How to open an online investing account | Types of investments | How can you make money from investing? | How can you research your investments? | Tracking your investing returns | Answers to investing questions you may be too embarrassed to ask | Top tips for new investors,"Home / Investing basics / Getting started | Learn about the stock market, investment types, and how to get started. | The stock market brings together people who want to sell investments with those who want to buy them. Learn more about how the stock market works. | If you’re ready to start investing, learn these important basics before diving in. | DIY investors build and manage their own investment portfolios."
OSC_GetSmarterAboutMoney,How does Getting started affect a retail investor?,Getting started,product_recommendations,https://www.getsmarteraboutmoney.ca/learning-path/getting-started/,How the stock market works | How to get started with investing | What is DIY investing and how does it work? | How to open an online investing account | Types of investments | How can you make money from investing? | How can you research your investments? | Tracking your investing returns | Answers to investing questions you may be too embarrassed to ask | Top tips for new investors,"Home / Investing basics / Getting started | Learn about the stock market, investment types, and how to get started. | The stock market brings together people who want to sell investments with those who want to buy them. Learn more about how the stock market works. | If you’re ready to start investing, learn these important basics before diving in. | DIY investors build and manage their own investment portfolios."
